Disaster,Location,Severity,People_Affected,Ambulance_Needed,Resources_Needed,Response_Time,Priority
Drought,Peshawar,Critical,9960,20,105,176,Critical
Landslide,Peshawar,Critical,1460,3,62,157,Critical
Earthquake,Sialkot,Critical,17488,34,200,171,Critical
Cyclone,Gujranwala,Low,4582,10,47,221,Low
Tsunami,Rawalpindi,High,19336,43,233,212,High
Cyclone,Rawalpindi,Critical,38352,77,426,157,Critical
Heatwave,Faisalabad,High,13882,29,175,205,High
Drought,Rawalpindi,High,9872,23,105,194,High
Heatwave,Lahore,High,5194,15,100,216,High
Fire,Sialkot,Medium,3314,6,61,208,Medium
Landslide,Sialkot,Critical,22016,45,249,143,Critical
Fire,Karachi,Low,1934,7,61,243,Low
Cyclone,Peshawar,Low,3161,9,68,237,Low
Landslide,Hyderabad,Low,4717,11,79,240,Low
Drought,Quetta,Low,2063,5,28,244,Low
Drought,Sialkot,Critical,33120,67,362,142,Critical
Tsunami,Gujranwala,Low,4560,10,45,242,Low
Cyclone,Hyderabad,High,11260,26,145,202,High
Fire,Peshawar,Medium,4316,10,90,225,Medium
Heatwave,Karachi,Low,4052,13,43,221,Low
Earthquake,Islamabad,High,16274,37,197,209,High
Flood,Islamabad,Low,3825,9,65,217,Low
Earthquake,Karachi,Critical,11424,26,151,173,Critical
Fire,Gujranwala,High,11740,23,147,209,High
Fire,Multan,Critical,11492,27,146,160,Critical
Drought,Karachi,Low,1196,7,60,210,Low
Earthquake,Islamabad,High,18108,38,192,180,High
Drought,Karachi,High,16200,36,206,193,High
Drought,Gujranwala,High,6230,16,99,204,High
Heatwave,Sialkot,Low,4491,9,55,247,Low
Landslide,Sialkot,Medium,1062,6,56,206,Medium
Flood,Quetta,Medium,8684,18,94,220,Medium
Earthquake,Multan,Critical,2616,8,32,163,Critical
Landslide,Lahore,Medium,1317,6,37,239,Medium
Tsunami,Karachi,Low,447,2,46,226,Low
Earthquake,Lahore,High,408,1,42,191,High
Landslide,Faisalabad,High,13712,30,175,215,High
Drought,Islamabad,Low,1176,2,31,226,Low
Fire,Islamabad,High,7782,15,109,195,High
Heatwave,Gujranwala,Medium,1213,2,36,217,Medium
Flood,Quetta,Critical,10296,21,128,170,Critical
Landslide,Sialkot,Low,124,4,39,249,Low
Fire,Gujranwala,High,7366,15,117,201,High
Earthquake,Sukkur,Low,4192,8,89,233,Low
Landslide,Sukkur,Medium,7571,19,90,211,Medium
Cyclone,Sialkot,High,12428,27,141,211,High
Fire,Sialkot,High,2180,4,46,207,High
Tsunami,Hyderabad,High,16032,34,181,193,High
Fire,Islamabad,High,16186,36,179,206,High
Flood,Rawalpindi,Low,178,1,29,233,Low
Tsunami,Sukkur,Medium,208,1,10,223,Medium
Heatwave,Sialkot,Medium,8819,19,96,225,Medium
Flood,Multan,Critical,36552,78,391,157,Critical
Earthquake,Karachi,Low,3419,7,72,238,Low
Tsunami,Lahore,Medium,294,2,46,211,Medium
Landslide,Quetta,Low,187,1,48,246,Low
Cyclone,Multan,Low,4386,8,75,218,Low
Flood,Multan,Medium,4601,10,65,236,Medium
Cyclone,Faisalabad,Critical,35508,75,399,154,Critical
Earthquake,Lahore,Critical,19188,43,226,146,Critical
Earthquake,Faisalabad,Critical,1520,4,35,157,Critical
Heatwave,Hyderabad,High,16656,33,211,195,High
Earthquake,Lahore,Medium,7154,18,118,235,Medium
Fire,Quetta,High,6074,14,95,207,High
Fire,Rawalpindi,High,3706,7,77,204,High
Heatwave,Islamabad,High,3356,8,46,192,High
Fire,Lahore,Low,4345,13,55,219,Low
Landslide,Sukkur,Low,1269,7,25,219,Low
Drought,Quetta,Medium,4048,11,79,230,Medium
Cyclone,Multan,Medium,3244,10,77,200,Medium
Cyclone,Hyderabad,Low,4362,8,61,221,Low
Landslide,Faisalabad,Low,2117,6,64,236,Low
Drought,Hyderabad,High,11814,25,140,211,High
Tsunami,Peshawar,Critical,17916,37,222,148,Critical
Heatwave,Sukkur,Critical,26408,53,272,180,Critical
Heatwave,Peshawar,Critical,5576,12,100,173,Critical
Earthquake,Sialkot,Critical,24848,54,289,174,Critical
Cyclone,Karachi,Critical,27008,57,281,160,Critical
Cyclone,Lahore,High,15240,35,184,211,High
Earthquake,Sialkot,Medium,9356,21,127,219,Medium
Tsunami,Sukkur,Low,2042,9,64,226,Low
Flood,Gujranwala,High,7600,17,116,215,High
Cyclone,Hyderabad,Critical,20056,41,220,176,Critical
Cyclone,Lahore,Low,710,6,52,213,Low
Flood,Rawalpindi,High,1238,6,19,205,High
Earthquake,Sukkur,Critical,6524,18,113,146,Critical
Flood,Sukkur,High,13480,30,156,190,High
Cyclone,Sialkot,Low,3156,8,66,213,Low
Earthquake,Sukkur,Medium,6279,13,92,213,Medium
Flood,Quetta,Critical,36620,78,403,156,Critical
Tsunami,Faisalabad,Low,3949,11,75,240,Low
Earthquake,Sialkot,Low,509,2,47,250,Low
Cyclone,Multan,Medium,254,3,47,206,Medium
Landslide,Quetta,High,5814,13,84,208,High
Heatwave,Hyderabad,Medium,1454,7,57,221,Medium
Cyclone,Sialkot,Medium,8289,21,129,216,Medium
Fire,Sialkot,High,14418,30,178,203,High
Heatwave,Multan,High,11054,23,128,203,High
Cyclone,Islamabad,High,18740,38,214,215,High
Heatwave,Sialkot,Low,831,6,10,245,Low
Drought,Sialkot,Low,4376,8,76,226,Low
Cyclone,Rawalpindi,Critical,3188,11,37,162,Critical
Earthquake,Hyderabad,Critical,15456,34,155,141,Critical
Earthquake,Sukkur,Medium,3563,10,59,226,Medium
Drought,Gujranwala,Medium,9386,22,102,207,Medium
Tsunami,Rawalpindi,Critical,31560,63,318,162,Critical
Drought,Rawalpindi,Medium,4541,10,87,238,Medium
Drought,Islamabad,High,1724,7,20,192,High
Heatwave,Sialkot,Low,659,3,18,246,Low
Flood,Peshawar,Critical,18772,41,204,176,Critical
Earthquake,Sukkur,Low,4498,9,92,244,Low
Flood,Quetta,Critical,37328,79,423,151,Critical
Drought,Peshawar,Low,319,4,13,228,Low
Tsunami,Karachi,Critical,12152,24,139,162,Critical
Earthquake,Lahore,Low,2626,8,69,230,Low
Cyclone,Karachi,High,712,2,23,212,High
Cyclone,Rawalpindi,Critical,13976,29,148,171,Critical
Cyclone,Gujranwala,Critical,38868,82,391,168,Critical
Heatwave,Lahore,Critical,9848,19,142,145,Critical
Fire,Sukkur,High,13250,27,182,204,High
Drought,Peshawar,Low,680,3,24,249,Low
Fire,Sialkot,Critical,20012,42,213,158,Critical
Landslide,Faisalabad,Low,1380,3,61,239,Low
Heatwave,Faisalabad,High,18678,42,220,220,High
Cyclone,Karachi,Medium,4039,8,42,209,Medium
Earthquake,Multan,Critical,37536,80,397,150,Critical
Heatwave,Multan,High,12950,30,157,220,High
Earthquake,Hyderabad,Low,4478,13,50,231,Low
Flood,Gujranwala,Critical,22140,49,260,166,Critical
Flood,Peshawar,Low,3194,8,74,250,Low
Earthquake,Karachi,Medium,2392,7,70,239,Medium
Cyclone,Gujranwala,Critical,5536,11,90,176,Critical
Fire,Peshawar,Critical,33216,68,346,165,Critical
Drought,Sukkur,Low,2883,6,75,214,Low
Heatwave,Quetta,Critical,3916,8,80,145,Critical
Heatwave,Quetta,High,3400,11,69,190,High
Cyclone,Lahore,High,14522,29,169,201,High
Drought,Quetta,Medium,3903,9,54,214,Medium
Flood,Quetta,High,2690,7,58,200,High
Fire,Hyderabad,Medium,5680,11,106,220,Medium
Drought,Hyderabad,Low,4929,14,99,228,Low
Flood,Multan,Low,3299,6,76,227,Low
Drought,Karachi,Medium,5447,10,72,238,Medium
Landslide,Lahore,High,1170,5,55,205,High
Heatwave,Gujranwala,High,9156,21,133,197,High
Landslide,Multan,Medium,7481,19,77,228,Medium
Drought,Multan,Medium,8138,19,105,223,Medium
Heatwave,Faisalabad,Low,1918,4,43,247,Low
Fire,Sukkur,Medium,5929,14,85,233,Medium
Cyclone,Sialkot,High,18320,39,233,208,High
Landslide,Sialkot,Medium,6250,15,105,226,Medium
Cyclone,Karachi,Medium,7175,16,91,210,Medium
Flood,Islamabad,Medium,3143,10,66,211,Medium
Flood,Peshawar,Low,4849,12,51,211,Low
Tsunami,Multan,Medium,6327,12,63,208,Medium
Flood,Multan,Critical,6016,15,107,155,Critical
Flood,Gujranwala,Critical,19756,43,213,156,Critical
Heatwave,Rawalpindi,Critical,16548,38,177,145,Critical
Fire,Rawalpindi,High,2608,10,65,193,High
Flood,Karachi,High,2888,6,77,190,High
Earthquake,Gujranwala,Medium,4490,9,72,225,Medium
Fire,Islamabad,Critical,10504,24,119,146,Critical
Earthquake,Rawalpindi,Low,3162,6,71,216,Low
Earthquake,Islamabad,Critical,10508,21,150,144,Critical
Cyclone,Gujranwala,Critical,25932,53,304,170,Critical
Drought,Rawalpindi,High,10576,21,146,215,High
Earthquake,Hyderabad,High,12018,26,143,183,High
Cyclone,Multan,Low,922,3,57,211,Low
Flood,Rawalpindi,High,3198,6,68,205,High
Earthquake,Faisalabad,Low,92,1,34,243,Low
Drought,Sukkur,High,10300,22,150,185,High
Tsunami,Karachi,Critical,29544,60,333,146,Critical
Landslide,Hyderabad,Critical,23984,50,251,156,Critical
Cyclone,Quetta,Low,2259,5,71,249,Low
Tsunami,Sialkot,Low,887,6,54,219,Low
Cyclone,Sukkur,High,4540,9,57,185,High
Landslide,Gujranwala,High,3060,10,48,204,High
Drought,Multan,Low,1585,3,43,229,Low
Fire,Hyderabad,Low,3580,9,46,224,Low
Landslide,Hyderabad,Critical,29812,63,341,155,Critical
Heatwave,Karachi,Critical,36900,77,373,158,Critical
Tsunami,Peshawar,Low,4594,12,56,238,Low
Earthquake,Sialkot,Critical,33980,72,350,180,Critical
Flood,Gujranwala,Medium,6785,13,114,208,Medium
Heatwave,Multan,High,3584,10,67,188,High
Earthquake,Multan,Critical,2120,9,28,173,Critical
Earthquake,Lahore,Medium,1568,4,39,210,Medium
Cyclone,Islamabad,Low,2949,9,31,211,Low
Landslide,Quetta,Critical,36720,76,394,142,Critical
Fire,Karachi,Low,812,2,25,232,Low
Tsunami,Multan,High,19760,39,232,200,High
Earthquake,Faisalabad,Low,4949,9,65,240,Low
Cyclone,Gujranwala,Medium,5415,12,62,229,Medium
Tsunami,Hyderabad,Low,3205,7,42,244,Low
Landslide,Islamabad,Medium,302,1,40,217,Medium
Fire,Sialkot,Critical,19524,42,211,175,Critical
Heatwave,Sialkot,Critical,27516,60,275,168,Critical
Landslide,Faisalabad,Medium,6453,16,85,208,Medium
Flood,Islamabad,High,2974,10,58,214,High
Landslide,Sialkot,High,18534,42,230,191,High
Earthquake,Lahore,High,8154,20,90,217,High
Fire,Quetta,Critical,37880,77,380,178,Critical
Landslide,Sukkur,Critical,34548,74,354,169,Critical
Earthquake,Multan,High,5756,13,77,220,High
Earthquake,Sukkur,Low,3168,8,69,250,Low
Fire,Karachi,High,5754,12,60,216,High
Landslide,Quetta,Low,1187,2,60,237,Low
Landslide,Faisalabad,High,9010,18,130,213,High
Cyclone,Lahore,Low,2516,8,64,250,Low
Tsunami,Rawalpindi,Critical,17988,39,221,180,Critical
Cyclone,Peshawar,High,16358,36,182,214,High
Landslide,Multan,High,4980,12,80,199,High
Heatwave,Rawalpindi,Medium,1136,3,61,222,Medium
Landslide,Quetta,High,5678,11,92,210,High
Flood,Peshawar,Low,3610,9,71,244,Low
Earthquake,Hyderabad,Medium,4621,9,68,214,Medium
Drought,Quetta,High,13998,30,143,185,High
Landslide,Islamabad,High,10022,20,150,208,High
Flood,Lahore,Critical,32132,66,366,159,Critical
Flood,Multan,Medium,1360,7,33,223,Medium
Tsunami,Karachi,Low,3008,11,63,236,Low
Fire,Peshawar,High,8446,20,98,196,High
Landslide,Lahore,Critical,16560,36,176,149,Critical
Fire,Rawalpindi,High,16446,33,197,199,High
Heatwave,Hyderabad,Medium,9828,19,102,200,Medium
Drought,Karachi,Low,1651,3,66,210,Low
Flood,Rawalpindi,Critical,30404,61,336,173,Critical
Earthquake,Hyderabad,High,3704,8,47,188,High
Earthquake,Islamabad,Low,1159,7,37,232,Low
Fire,Peshawar,High,10182,22,135,198,High
Flood,Multan,High,420,1,38,210,High
Tsunami,Rawalpindi,Medium,6583,16,90,234,Medium
Fire,Sukkur,Medium,5543,11,60,200,Medium
Drought,Hyderabad,High,12648,27,148,211,High
Fire,Quetta,Critical,21996,46,233,170,Critical
Flood,Multan,Medium,7312,17,86,219,Medium
Landslide,Islamabad,Medium,5584,14,97,200,Medium
Tsunami,Lahore,Medium,7155,19,92,227,Medium
Flood,Hyderabad,Medium,9838,21,119,218,Medium
Tsunami,Gujranwala,Low,1165,2,34,248,Low
Cyclone,Islamabad,High,10044,25,118,194,High
Cyclone,Peshawar,Low,2676,9,39,210,Low
Earthquake,Sukkur,Low,4991,12,97,245,Low
Tsunami,Karachi,High,6780,14,106,203,High
Drought,Rawalpindi,Medium,7948,17,112,212,Medium
Fire,Faisalabad,Critical,20988,44,239,166,Critical
Cyclone,Sukkur,Medium,3010,8,65,235,Medium
Fire,Hyderabad,Medium,6624,14,114,227,Medium
Fire,Lahore,Medium,5328,13,94,225,Medium
Drought,Karachi,Medium,4875,9,48,215,Medium
Flood,Quetta,Critical,32576,67,332,150,Critical
Fire,Karachi,Low,4767,12,89,234,Low
Tsunami,Gujranwala,Critical,16284,35,184,164,Critical
Drought,Sialkot,High,10878,23,136,194,High
Cyclone,Lahore,Medium,6261,13,77,216,Medium
Landslide,Multan,Critical,18768,39,228,145,Critical
Fire,Rawalpindi,High,13074,30,169,207,High
Earthquake,Karachi,Critical,24320,48,282,180,Critical
Drought,Lahore,Medium,1965,4,34,215,Medium
Flood,Hyderabad,Medium,9338,23,95,233,Medium
Heatwave,Gujranwala,High,6746,18,110,219,High
Cyclone,Sukkur,Critical,39212,78,412,157,Critical
Cyclone,Quetta,Medium,9039,18,114,218,Medium
Heatwave,Karachi,High,6094,17,110,214,High
Tsunami,Sialkot,Critical,36448,74,371,157,Critical
Landslide,Quetta,Critical,2160,8,45,166,Critical
Cyclone,Gujranwala,High,15326,33,169,192,High
Cyclone,Peshawar,Critical,14136,32,175,144,Critical
Flood,Multan,Critical,29132,59,337,151,Critical
Cyclone,Peshawar,Medium,4873,13,66,208,Medium
Drought,Peshawar,Medium,1233,2,13,218,Medium
Tsunami,Quetta,Medium,6803,16,101,207,Medium
Landslide,Quetta,High,16560,37,214,220,High
Earthquake,Hyderabad,Low,1190,5,34,239,Low
Landslide,Multan,Critical,20244,44,234,179,Critical
Tsunami,Rawalpindi,High,8130,21,113,208,High
Drought,Gujranwala,Low,2119,7,49,227,Low
Tsunami,Lahore,Low,1312,6,44,249,Low
Flood,Quetta,High,14064,29,142,211,High
Earthquake,Islamabad,Low,3138,9,49,222,Low
Landslide,Islamabad,Medium,1311,4,54,220,Medium
Fire,Quetta,High,14914,29,161,181,High
Landslide,Lahore,Critical,39584,82,415,149,Critical
Flood,Karachi,Medium,7951,20,111,203,Medium
Earthquake,Sialkot,Critical,38556,77,390,174,Critical
Drought,Hyderabad,Low,3333,10,39,211,Low
Tsunami,Hyderabad,Medium,8855,21,98,211,Medium
Tsunami,Lahore,Critical,33600,71,385,146,Critical
Drought,Peshawar,High,13906,31,173,198,High
Earthquake,Hyderabad,Low,4503,14,79,227,Low
Drought,Multan,Critical,2808,9,28,148,Critical
Cyclone,Hyderabad,Low,2995,6,69,238,Low
Landslide,Multan,Critical,35584,71,359,140,Critical
Flood,Quetta,High,19658,42,209,194,High
Drought,Islamabad,Medium,1492,3,56,205,Medium
Flood,Sukkur,Critical,7564,16,115,149,Critical
Cyclone,Quetta,Low,2083,5,69,210,Low
Tsunami,Sialkot,High,11832,24,131,211,High
Drought,Peshawar,Medium,2825,6,71,213,Medium
Earthquake,Islamabad,Low,412,1,31,231,Low
Tsunami,Lahore,High,18654,40,192,206,High
Tsunami,Quetta,Low,3323,6,46,229,Low
Earthquake,Sialkot,High,11064,27,144,211,High
Landslide,Multan,Medium,7152,17,115,223,Medium
Landslide,Hyderabad,Medium,1835,4,65,229,Medium
Drought,Rawalpindi,Low,136,5,50,212,Low
Tsunami,Karachi,High,3430,7,61,201,High
Drought,Islamabad,Critical,17356,38,214,145,Critical
Landslide,Karachi,Medium,3737,9,41,209,Medium
Fire,Rawalpindi,Critical,33864,69,385,143,Critical
Cyclone,Gujranwala,Critical,34396,73,386,157,Critical
Drought,Karachi,Low,4621,9,55,235,Low
Drought,Lahore,Low,4805,9,49,214,Low
Fire,Faisalabad,Low,4762,12,76,244,Low
Landslide,Karachi,High,7442,18,119,210,High
Drought,Lahore,Medium,7403,17,95,211,Medium
Flood,Faisalabad,Medium,6229,16,64,212,Medium
Landslide,Faisalabad,Critical,26032,54,265,156,Critical
Landslide,Islamabad,Low,3843,9,42,234,Low
Cyclone,Sukkur,High,19486,42,197,180,High
Drought,Sialkot,Medium,8299,19,93,207,Medium
Tsunami,Sialkot,High,5138,10,101,195,High
Heatwave,Gujranwala,Low,2875,10,44,234,Low
Heatwave,Sukkur,Low,251,4,37,238,Low
Heatwave,Sukkur,Medium,8009,20,84,215,Medium
Cyclone,Rawalpindi,Critical,7248,18,108,142,Critical
Heatwave,Sialkot,Critical,19760,42,211,152,Critical
Fire,Multan,Low,3457,6,50,239,Low
Earthquake,Quetta,Low,753,4,33,216,Low
Landslide,Multan,Critical,8004,17,104,173,Critical
Tsunami,Peshawar,Low,1210,3,40,223,Low
Earthquake,Sukkur,Medium,5807,15,98,230,Medium
Cyclone,Gujranwala,Medium,5210,14,77,224,Medium
Landslide,Hyderabad,High,11440,26,141,199,High
Cyclone,Lahore,Critical,30240,60,322,160,Critical
Cyclone,Rawalpindi,Low,1744,3,18,220,Low
Fire,Sialkot,High,17274,38,196,220,High
Flood,Islamabad,Medium,8012,16,123,202,Medium
Flood,Lahore,Critical,23224,48,239,175,Critical
Cyclone,Sukkur,Medium,7901,19,113,233,Medium
Heatwave,Rawalpindi,Low,849,3,10,217,Low
Earthquake,Lahore,High,14556,32,186,196,High
Heatwave,Rawalpindi,Low,3756,9,83,240,Low
Drought,Quetta,Low,2662,8,65,250,Low
Cyclone,Gujranwala,Critical,4800,14,52,159,Critical
Drought,Gujranwala,Critical,20076,43,248,152,Critical
Heatwave,Sukkur,Low,416,4,51,233,Low
Drought,Rawalpindi,Critical,7940,19,116,143,Critical
Cyclone,Rawalpindi,High,940,4,11,193,High
Fire,Peshawar,High,11440,22,158,187,High
Flood,Peshawar,Low,945,2,13,225,Low
Earthquake,Islamabad,High,5584,13,77,220,High
Drought,Sialkot,Low,2048,7,52,237,Low
Cyclone,Quetta,High,17108,35,177,200,High
Fire,Multan,Medium,2958,9,47,200,Medium
Heatwave,Faisalabad,Low,4571,13,95,220,Low
Flood,Islamabad,High,5446,15,97,197,High
Cyclone,Sukkur,Medium,5522,16,74,237,Medium
Earthquake,Gujranwala,Low,4636,12,84,217,Low
Heatwave,Multan,High,14170,28,146,205,High
Fire,Multan,High,15340,33,171,195,High
Heatwave,Rawalpindi,Medium,3898,9,86,200,Medium
Tsunami,Rawalpindi,Critical,26944,58,297,142,Critical
Heatwave,Karachi,Critical,12488,25,148,177,Critical
Drought,Lahore,Medium,3153,6,56,230,Medium
Heatwave,Rawalpindi,Medium,7180,19,113,238,Medium
Fire,Lahore,Low,3290,9,33,219,Low
Heatwave,Multan,Critical,2312,6,53,163,Critical
Heatwave,Rawalpindi,Low,1666,5,26,215,Low
Landslide,Rawalpindi,High,14930,29,183,195,High
Cyclone,Islamabad,Medium,9802,21,112,210,Medium
Landslide,Quetta,Low,3568,9,43,241,Low
Heatwave,Multan,Medium,6470,14,111,205,Medium
Cyclone,Sialkot,Low,86,2,25,249,Low
Landslide,Sialkot,High,7238,17,122,201,High
Heatwave,Islamabad,High,6942,18,103,220,High
Earthquake,Hyderabad,Critical,18640,42,204,143,Critical
Landslide,Lahore,Critical,4500,9,85,143,Critical
Cyclone,Faisalabad,High,19118,39,200,202,High
Landslide,Sukkur,Low,883,2,27,219,Low
Tsunami,Lahore,Medium,8896,19,131,234,Medium
Tsunami,Multan,High,6326,17,113,186,High
Earthquake,Hyderabad,High,12186,27,167,188,High
Fire,Gujranwala,Low,2720,7,68,241,Low
Fire,Lahore,High,6656,15,89,194,High
Cyclone,Quetta,High,15192,35,151,200,High
Drought,Hyderabad,Low,983,4,44,245,Low
Fire,Rawalpindi,High,8796,21,122,202,High
Cyclone,Faisalabad,Critical,32476,69,333,168,Critical
Earthquake,Sialkot,Critical,34984,69,356,152,Critical
Drought,Faisalabad,Critical,20936,42,211,141,Critical
Drought,Peshawar,Critical,39520,82,395,164,Critical
Tsunami,Sialkot,High,12934,26,165,202,High
Heatwave,Peshawar,Medium,6531,16,103,208,Medium
Drought,Hyderabad,Critical,38868,82,413,156,Critical
Flood,Islamabad,Critical,7884,18,112,142,Critical
Cyclone,Rawalpindi,High,11600,27,151,211,High
Drought,Faisalabad,High,11732,25,122,208,High
Drought,Lahore,Low,3800,7,57,245,Low
Flood,Multan,Critical,11704,27,130,158,Critical
Drought,Peshawar,Low,2486,5,71,244,Low
Heatwave,Sukkur,Critical,39076,78,437,171,Critical
Flood,Sialkot,Medium,1488,4,60,212,Medium
Tsunami,Faisalabad,High,4588,14,67,216,High
Landslide,Faisalabad,High,10462,24,117,191,High
Drought,Sialkot,Low,1015,5,36,244,Low
Drought,Multan,Low,2004,5,61,232,Low
Cyclone,Hyderabad,High,10206,24,134,200,High
Heatwave,Sukkur,High,4032,12,49,209,High
Cyclone,Peshawar,High,6198,12,71,197,High
Landslide,Islamabad,Critical,24864,50,259,178,Critical
Drought,Gujranwala,Critical,9664,20,110,175,Critical
Heatwave,Gujranwala,Medium,8469,17,123,210,Medium
Flood,Lahore,Critical,25856,51,274,144,Critical
Drought,Sukkur,High,13904,28,151,213,High
Tsunami,Sukkur,Critical,39484,78,401,149,Critical
Drought,Sialkot,Low,1179,5,22,238,Low
Fire,Rawalpindi,High,19034,38,232,198,High
Heatwave,Lahore,Critical,25544,53,291,156,Critical
Fire,Sialkot,High,14062,33,143,214,High
Flood,Sialkot,Low,1571,4,63,233,Low
Drought,Rawalpindi,Low,4036,10,75,239,Low
Flood,Multan,Critical,35616,73,385,140,Critical
Earthquake,Hyderabad,High,5876,14,99,220,High
Drought,Lahore,Medium,9191,22,126,232,Medium
Fire,Rawalpindi,Low,1416,5,18,234,Low
Heatwave,Islamabad,Medium,8122,21,99,211,Medium
Fire,Quetta,Critical,19328,38,235,141,Critical
Flood,Faisalabad,Low,1199,7,15,249,Low
Landslide,Lahore,Medium,3165,6,47,223,Medium
Drought,Sialkot,Low,2627,6,32,249,Low
Tsunami,Lahore,Medium,7489,16,86,215,Medium
Cyclone,Gujranwala,High,1956,6,65,200,High
Heatwave,Sialkot,High,11964,27,156,184,High
Tsunami,Faisalabad,Critical,1028,5,41,174,Critical
Tsunami,Multan,Low,4019,9,61,234,Low
Drought,Rawalpindi,Medium,2336,7,45,212,Medium
Landslide,Gujranwala,Critical,13184,30,139,173,Critical
Drought,Gujranwala,High,12780,29,169,211,High
Landslide,Karachi,High,18600,39,227,215,High
Earthquake,Lahore,Critical,33524,69,350,149,Critical
Heatwave,Peshawar,Low,4104,9,47,249,Low
Flood,Islamabad,Medium,6803,15,86,218,Medium
Flood,Sialkot,High,16312,37,202,200,High
Tsunami,Gujranwala,Critical,27636,60,280,166,Critical
Cyclone,Karachi,High,14744,29,159,200,High
Earthquake,Islamabad,High,16212,34,182,187,High
Flood,Gujranwala,Medium,2840,5,59,206,Medium
Flood,Islamabad,Low,727,4,35,243,Low
Cyclone,Rawalpindi,Low,4681,9,67,214,Low
Cyclone,Hyderabad,Medium,605,2,45,202,Medium
Flood,Quetta,Critical,14852,33,190,148,Critical
Fire,Faisalabad,Critical,19540,40,214,151,Critical
